ALT [ft],EGT_1 [deg C],EGT_2 [deg C],FMV_1 [mm],FMV_2 [mm],HPTACC_1 [%],HPTACC_2 [%],M [Mach],N1_1 [% rpm],N1_2 [% rpm],N2_1 [% rpm],N2_2 [% rpm],NAIV_1 [bool],NAIV_2 [bool],P0_1 [psia],P0_2 [psia],PRV_1 [bool],PRV_2 [bool],PS3_1 [psia],PS3_2 [psia],PT2_1 [mbar],PT2_2 [mbar],P_OIL_1 [psi],P_OIL_2 [psi],Q_1 [lb/h],Q_2 [lb/h],T1_1 [deg C],T1_2 [deg C],T2_1 [deg C],T2_2 [deg C],T3_1 [deg C],T3_2 [deg C],T5_1 [deg C],T5_2 [deg C],TAT [deg C],TBV_1 [%],TBV_2 [%],TCASE_1 [deg C],TCASE_2 [deg C],TLA_1 [deg],TLA_2 [deg],T_OIL_1 [deg C],T_OIL_2 [deg C],VBV_1 [mm],VBV_2 [mm],VIB_AN1_1 [mils],VIB_AN1_2 [mils],VIB_AN2_1 [ips],VIB_AN2_2 [ips],VIB_BN1_1 [mils],VIB_BN1_2 [mils],VIB_BN2_1 [ips],VIB_BN2_2 [ips],VSV_1 [mm],VSV_2 [mm]
10274.795454368,507.34996958,512.2756974399999,5.98268195526,5.94649150281,3.955258948,3.89593006378,0.4026151395,47.418478801140004,47.12439247764001,72.86096398085999,72.86096398085999,0.0,0.0,8.88238801184,8.88238801184,0.0,0.0,69.359370633,69.359370633,826.070594412,827.03789019,62.105891500000006,63.099585764000004,987.778073616,1022.436953392,20.438759920469998,20.438759920469998,29.651508419430005,29.33964644325,285.979410475,289.099185862,442.51663269200003,444.36816672000003,24.866864391,0.0,0.0,179.21843621099998,188.13477632099998,0.5098126378400001,0.6140924955800001,100.277324888,101.87749496599999,36.252818851200004,36.252818851200004,0.3645419984,0.29163359872,0.0,0.07290839968,0.7290839968,0.43745039808,0.07290839968,0.32808779856,45.78649092758,45.72396954716
10228.429048888,507.34996958,512.2756974399999,5.98268195526,5.94649150281,3.955258948,3.8366011795599997,0.4026151395,47.418478801140004,47.05381176,72.86096398085999,72.86096398085999,0.0,0.0,8.899339134,8.899339134,0.0,0.0,69.359370633,69.359370633,828.005185968,828.005185968,62.602738632000005,62.851162198000004,1074.425273056,1022.436953392,20.438759920469998,20.55483427875,29.544818796,29.33964644325,285.979410475,289.099185862,442.51663269200003,444.83105022700005,24.866864391,0.0,0.0,179.21843621099998,188.13477632099998,0.5098126378400001,0.6140924955800001,100.277324888,101.87749496599999,36.252818851200004,36.252818851200004,0.3645419984,0.29163359872,0.0,0.07290839968,0.7290839968,0.43745039808,0.07290839968,0.32808779856,45.849012308,45.72396954716
10177.42600286,507.34996958,512.2756974399999,5.98268195526,5.94649150281,3.89593006378,3.955258948,0.4026151395,47.347898083500006,47.05381176,72.80994685121999,72.80994685121999,0.0,0.0,8.91629025616,8.91629025616,0.0,0.0,69.359370633,69.9098418285,828.972481746,828.972481746,61.609044368000006,62.602738632000005,1083.089993,1013.772233448,20.55483427875,20.55483427875,29.651508419430005,29.241163713930003,285.979410475,289.099185862,442.51663269200003,444.83105022700005,24.866864391,0.0,0.0,179.21843621099998,188.13477632099998,0.5098126378400001,0.6140924955800001,100.277324888,101.87749496599999,36.252818851200004,36.252818851200004,0.3645419984,0.29163359872,0.0,0.07290839968,0.7290839968,0.43745039808,0.07290839968,0.32808779856,45.91153368842001,45.78649092758
10126.422956832,507.34996958,512.2756974399999,5.98268195526,5.94649150281,3.89593006378,3.89593006378,0.4026151395,47.347898083500006,46.98323104236,72.80994685121999,72.80994685121999,0.0,0.0,8.924765817239999,8.924765817239999,0.0,0.0,69.359370633,69.359370633,829.939777524,830.907073302,62.354315066000005,62.602738632000005,1091.754712944,1057.095833168,20.680581500219997,20.55483427875,29.651508419430005,29.33964644325,285.979410475,289.099185862,442.51663269200003,444.83105022700005,24.866864391,0.0,0.0,179.21843621099998,188.13477632099998,0.5098126378400001,0.6140924955800001,100.277324888,101.87749496599999,36.252818851200004,36.252818851200004,0.43745039808,0.29163359872,0.03645419984,0.07290839968,0.7290839968,0.43745039808,0.07290839968,0.32808779856,45.984475298910006,45.849012308
10075.419910804,508.33511515199996,512.2756974399999,5.98268195526,5.94649150281,3.955258948,3.955258948,0.4026151395,47.27731736586,46.98323104236,72.80994685121999,72.80994685121999,0.0,0.0,8.941716939400001,8.941716939400001,0.0,0.0,69.359370633,69.9098418285,831.87436908,831.87436908,62.354315066000005,62.602738632000005,996.4427935599999,1057.095833168,20.680581500219997,20.680581500219997,29.651508419430005,29.446336066680004,285.979410475,289.099185862,442.97951619900005,445.293933734,25.13715639525,0.0,0.0,179.21843621099998,188.13477632099998,0.6140924955800001,0.5098126378400001,100.277324888,101.87749496599999,36.252818851200004,36.252818851200004,0.43745039808,0.29163359872,0.0,0.07290839968,0.7290839968,0.43745039808,0.07290839968,0.32808779856,46.04699667933,45.91153368842001
10029.053505324,508.33511515199996,513.260843012,5.98268195526,5.94649150281,3.955258948,3.89593006378,0.4026151395,47.27731736586,46.912650324720005,72.80994685121999,72.80994685121999,0.0,0.0,8.95019250048,8.95019250048,0.0,0.0,69.359370633,69.9098418285,832.841664858,833.808960636,62.602738632000005,62.851162198000004,996.4427935599999,1039.7663932799999,20.680581500219997,20.680581500219997,29.651508419430005,29.446336066680004,285.979410475,289.099185862,442.97951619900005,445.756817241,25.13715639525,0.0,0.0,179.21843621099998,188.13477632099998,0.6140924955800001,0.6140924955800001,100.277324888,101.87749496599999,36.252818851200004,36.252818851200004,0.43745039808,0.29163359872,0.0,0.07290839968,0.7290839968,0.43745039808,0.07290839968,0.32808779856,45.984475298910006,45.91153368842001
9987.323740392,508.33511515199996,513.260843012,5.98268195526,5.94649150281,3.89593006378,3.955258948,0.4026151395,47.27731736586,46.912650324720005,72.80994685121999,72.80994685121999,0.0,0.0,8.96714362264,8.96714362264,0.0,0.0,69.359370633,69.359370633,834.776256414,834.776256414,62.354315066000005,62.851162198000004,987.778073616,1039.7663932799999,20.680581500219997,20.7966558585,29.651508419430005,29.446336066680004,285.4594479105,289.099185862,443.442399706,445.756817241,25.13715639525,0.0,0.0,179.21843621099998,188.13477632099998,0.6140924955800001,0.6140924955800001,100.277324888,101.87749496599999,36.252818851200004,36.252818851200004,0.43745039808,0.29163359872,0.03645419984,0.07290839968,0.80199239648,0.43745039808,0.07290839968,0.32808779856,45.91153368842001,45.849012308
9950.230616008,508.33511515199996,513.260843012,5.98268195526,5.94649150281,3.89593006378,3.8366011795599997,0.4026151395,47.27731736586,46.830306154140004,72.80994685121999,72.80994685121999,0.0,0.0,8.975619183720001,8.975619183720001,0.0,0.0,69.359370633,69.9098418285,835.743552192,835.743552192,62.354315066000005,62.602738632000005,996.4427935599999,1013.772233448,20.680581500219997,20.92240307997,29.749991148750002,29.33964644325,285.4594479105,289.099185862,443.442399706,445.756817241,25.13715639525,0.0,0.0,179.21843621099998,188.13477632099998,0.5098126378400001,0.6140924955800001,100.277324888,101.34410494,36.252818851200004,36.252818851200004,0.43745039808,0.29163359872,0.03645419984,0.07290839968,0.80199239648,0.3645419984,0.07290839968,0.32808779856,45.984475298910006,45.849012308
9913.137491624,508.33511515199996,513.260843012,6.0518459085,5.94649150281,3.955258948,3.89593006378,0.4026151395,47.20673664822001,46.830306154140004,72.80994685121999,72.80994685121999,0.0,0.0,8.99257030588,8.99257030588,0.0,0.0,69.359370633,69.9098418285,836.71084797,836.71084797,61.857467934000006,62.851162198000004,1083.089993,1074.425273056,20.7966558585,20.92240307997,29.856680772180002,29.544818796,285.4594479105,289.099185862,443.905283213,445.756817241,25.407448399499998,0.0,0.0,179.21843621099998,188.13477632099998,0.6140924955800001,0.6140924955800001,100.277324888,101.87749496599999,36.252818851200004,36.252818851200004,0.51035879776,0.29163359872,0.03645419984,0.07290839968,0.80199239648,0.3645419984,0.07290839968,0.32808779856,46.04699667933,45.984475298910006
9876.04436724,509.320260724,513.260843012,6.0518459085,5.94649150281,3.955258948,3.8366011795599997,0.4026151395,47.20673664822001,46.830306154140004,72.80994685121999,72.80994685121999,0.0,0.0,8.99257030588,9.009521428040001,0.0,0.0,69.359370633,69.9098418285,837.678143748,837.678143748,62.602738632000005,62.602738632000005,1091.754712944,1065.760553112,20.92240307997,20.92240307997,29.856680772180002,29.544818796,285.4594479105,289.099185862,443.905283213,446.21970074800004,25.407448399499998,0.0,0.0,179.21843621099998,188.13477632099998,0.5098126378400001,0.6140924955800001,100.277324888,101.87749496599999,36.252818851200004,36.252818851200004,0.51035879776,0.29163359872,0.03645419984,0.07290839968,0.80199239648,0.3645419984,0.07290839968,0.32808779856,46.10951805975,45.984475298910006
